geological formation,340
structure,280
natural elevation,254
consumer goods,124
commodity,101
shore,99
mountain,82
craft,73
vessel,71
building,67
wheeled vehicle,61
sandbar,61
barrier,60
promontory,58
bar,45
valley,43
container,37
volcano,37
bridge,36
natural depression,33
seashore,27
geyser,26
fountain,25
domestic animal,24
canine,24
spring,23
food,21
obstruction,21
ship,20
fence,20
cliff,19
place of worship,19
fruit,18
boat,17
invertebrate,17
swimsuit,17
support,16
matter,16
mountain tent,16
rapeseed,15
snorkel,15
oilseed,15
substance,15
bicycle,15
residence,14
bird,14
seed,13
diver,13
scuba diver,13
explorer,13
house,12
ridge,12
column,12
ungulate,12
memorial,12
tent,12
equipment,12
breathing device,12
implement,11
nutriment,11
dwelling,11
castle,11
fish,11
maze,10
reptile,10
mercantile establishment,10
carnivore,10
aquatic vertebrate,9
furniture,9
fortification,9
place of business,9
megalith,9
ruminant,9
dish,9
breakwater,8
wind instrument,8
hay,8
bell cote,8
arthropod,8
system,8
rescue equipment,8
parachute,8
coral reef,8
primate,8
viaduct,8
maypole,8
reef,7
decapod crustacean,7
rig,7
lakeside,7
canoe,7
stupa,7
obelisk,7
beacon,7
game equipment,7
plant organ,7
shrine,6
picket fence,6
steel arch bridge,6
tower,6
container ship,6
elasmobranch,6
small boat,6
shop,6
mechanical device,6
swing,6
establishment,6
radio telescope,6
astronomical telescope,5
insect,5
fodder,5
farm machine,5
echinoderm,5
sports equipment,5
upright,5
post,5
pier,5
mountain bike,5
placental,5
timepiece,5
menu,5
mechanism,5
cartilaginous fish,5
anthropoid ape,5
starfish,5
monkey,5
structural member,5
housing,5
jigsaw puzzle,5
snake,5
headdress,5
machine,5
working dog,5
causal agent,4
worm fence,4
fabric,4
communication,4
plant part,4
ski,4
magnifier,4
bottle,4
aquatic bird,4
angiosperm,4
gondola,4
instrument,4
dome,4
totem pole,4
pirate,4
stringed instrument,4
barn,4
wading bird,4
staff,4
stone wall,4
gear,4
emblem,4
flagpole,4
woodwind,4
sailing vessel,4
flower,4
telescope,4
dam,4
toiletry,4
piece of cloth,4
produce,4
fare,4
sailboat,4
gastropod,4
stick,4
plaything,4
cargo ship,4
warship,4
ape,4
solid,4
jacket,3
mask,3
reflector,3
fireboat,3
area,3
puzzle,3
beating-reed instrument,3
mirror,3
game,3
whale,3
chelonian,3
cetacean,3
measuring instrument,3
teleost fish,3
book jacket,3
computer,3
robe,3
sundial,3
greenhouse,3
oystercatcher,3
gymnastic apparatus,3
farm building,3
runner,3
design,3
tool,3
carousel,3
top,3
food fish,3
feed,3
shorebird,3
daisy,3
cart,3
spermatophyte,3
mollusk,3
web site,3
turtle,3
wagon,3
patio,3
arch,3
elephant,3
natural object,3
speedboat,3
crustacean,3
car mirror,3
shark,3
cap,3
ride,3
car,3
Old World monkey,3
aquatic mammal,3
box,3
paddle,3
triumphal arch,3
beverage,2
fastener,2
groom,2
brass,2
oar,2
Caffe,2
cello,2
oscine,2
kitchen utensil,2
birdhouse,2
slot machine,2
horizontal surface,2
stage,2
peer,2
shed,2
baby bed,2
signal,2
jackfruit,2
military vehicle,2
edible fruit,2
double-reed instrument,2
oxcart,2
theater,2
restraint,2
pan,2
vegetable,2
kimono,2
participant,2
decoration,2
surface,2
lizard,2
percussion instrument,2
hat,2
tank,2
proboscis monkey,2
vascular plant,2
traffic light,2
palace,2
table,2
church,2
bowed stringed instrument,2
canopy,2
aircraft,2
lighter-than-air craft,2
vestment,2
feline,2
colubrid snake,2
bison,2
